file_name,weight_e5,weight_lexical,gold_count,hits,recall_at_10,hit_at_10,top10
Decision Trees Revised.pptx,1.0,0.0,3,1,0.3333333333333333,1,Machine Learning (ML) | Natural language Processing (NLP) | Data sharing | Database modelling | Communication systems and protocols design | Pre-sales preparation | Knowledge of big data tools and platforms | 3D modelling | Energy management and efficiency | Quantum mechanics
HandsOn1_Window_Functions.md,0.5,0.5,3,1,0.3333333333333333,1,Cloud computing | Pre-sales preparation | Data warehousing | Operating systems management | Web pages optimization | Database management and configuration | Data sharing | Network and data security | Programming | Knowledge of big data tools and platforms
Introduction to Pandas_.pptx,1.0,0.0,3,1,0.3333333333333333,1,Data collection and analysis | Data sharing | Communication systems and protocols design | Web pages optimization | Knowledge of big data tools and platforms | Pre-sales preparation | Data warehousing | Data engineering | Database modelling | Data preparation
Introduction to Pandas_.pptx,0.9,0.1,3,1,0.3333333333333333,1,Data collection and analysis | Data sharing | Communication systems and protocols design | Web pages optimization | Knowledge of big data tools and platforms | Pre-sales preparation | Data engineering | Data warehousing | Database modelling | Data preparation
Introduction to Pandas_.pptx,0.8,0.2,3,1,0.3333333333333333,1,Data collection and analysis | Data sharing | Communication systems and protocols design | Web pages optimization | Knowledge of big data tools and platforms | Pre-sales preparation | Data engineering | Data warehousing | Database modelling | Data preparation
Introduction to Pandas_.pptx,0.7,0.3,3,1,0.3333333333333333,1,Data collection and analysis | Data sharing | Communication systems and protocols design | Knowledge of big data tools and platforms | Web pages optimization | Data engineering | Pre-sales preparation | Data warehousing | Database modelling | Data preparation
Introduction to Pandas_.pptx,0.6,0.4,3,1,0.3333333333333333,1,Data collection and analysis | Data sharing | Communication systems and protocols design | Knowledge of big data tools and platforms | Web pages optimization | Data engineering | Pre-sales preparation | Data warehousing | Database modelling | Data preparation
Introduction to Pandas_.pptx,0.5,0.5,3,1,0.3333333333333333,1,Data collection and analysis | Data sharing | Knowledge of big data tools and platforms | Communication systems and protocols design | Web pages optimization | Data engineering | Pre-sales preparation | Data warehousing | Database modelling | Data preparation
Lecture - Decision Trees.ipynb,1.0,0.0,3,1,0.3333333333333333,1,3D modelling | Knowledge of big data tools and platforms | Machine Learning (ML) | Pre-sales preparation | Data sharing | Data collection and analysis | Natural language Processing (NLP) | RAN architecture | Web pages optimization | Data processing
Lecture - Decision Trees.ipynb,0.9,0.1,3,1,0.3333333333333333,1,Knowledge of big data tools and platforms | 3D modelling | Machine Learning (ML) | Data sharing | Pre-sales preparation | Data collection and analysis | Natural language Processing (NLP) | RAN architecture | Data processing | Web pages optimization
Lecture - Decision Trees.ipynb,0.8,0.2,3,1,0.3333333333333333,1,Knowledge of big data tools and platforms | 3D modelling | Machine Learning (ML) | Data sharing | Pre-sales preparation | Data collection and analysis | Natural language Processing (NLP) | RAN architecture | Data processing | Web pages optimization
Lecture - Decision Trees.ipynb,0.7,0.3,3,1,0.3333333333333333,1,Knowledge of big data tools and platforms | 3D modelling | Machine Learning (ML) | Data sharing | Pre-sales preparation | Data collection and analysis | Natural language Processing (NLP) | RAN architecture | Data processing | Web pages optimization
Lecture - Decision Trees.ipynb,0.6,0.4,3,1,0.3333333333333333,1,Knowledge of big data tools and platforms | 3D modelling | Machine Learning (ML) | Data sharing | Pre-sales preparation | Data collection and analysis | Natural language Processing (NLP) | RAN architecture | Data processing | Web pages optimization
Lecture - Decision Trees.ipynb,0.5,0.5,3,1,0.3333333333333333,1,Knowledge of big data tools and platforms | 3D modelling | Machine Learning (ML) | Data sharing | Pre-sales preparation | Data collection and analysis | RAN architecture | Natural language Processing (NLP) | Data processing | Web pages optimization
Lecture - Pandas Basics.ipynb,1.0,0.0,4,2,0.5,1,Pre-sales preparation | Knowledge of big data tools and platforms | Data sharing | Data preparation | Data collection and analysis | Data warehousing | Data processing | Programming | Web pages optimization | Data protection management
Lecture - Pandas Basics.ipynb,0.9,0.1,4,2,0.5,1,Pre-sales preparation | Data sharing | Knowledge of big data tools and platforms | Data preparation | Data collection and analysis | Data warehousing | Data processing | Programming | Web pages optimization | Data protection management
Lecture - Pandas Basics.ipynb,0.8,0.2,4,2,0.5,1,Pre-sales preparation | Data sharing | Knowledge of big data tools and platforms | Data preparation | Data collection and analysis | Data warehousing | Data processing | Programming | Web pages optimization | Data protection management
Lecture - Pandas Basics.ipynb,0.7,0.3,4,2,0.5,1,Pre-sales preparation | Data sharing | Knowledge of big data tools and platforms | Data preparation | Data collection and analysis | Data warehousing | Data processing | Programming | Web pages optimization | Data protection management
Lecture - Pandas Basics.ipynb,0.6,0.4,4,2,0.5,1,Pre-sales preparation | Data sharing | Knowledge of big data tools and platforms | Data preparation | Data collection and analysis | Data warehousing | Data processing | Programming | Web pages optimization | Data protection management
Lecture - Pandas Basics.ipynb,0.5,0.5,4,2,0.5,1,Pre-sales preparation | Data sharing | Knowledge of big data tools and platforms | Data preparation | Data collection and analysis | Data warehousing | Data processing | Programming | Web pages optimization | Data protection management
Lecture_ML_Workflow.ipynb,1.0,0.0,4,1,0.25,1,Pre-sales preparation | Knowledge of big data tools and platforms | Machine Learning (ML) | 3D modelling | Data collection and analysis | Data sharing | Quantum mechanics | Programming | Radio frequency engineering | IoT tech design and development
Lecture_ML_Workflow.ipynb,0.9,0.1,4,1,0.25,1,Knowledge of big data tools and platforms | Pre-sales preparation | Machine Learning (ML) | 3D modelling | Data collection and analysis | Data sharing | Quantum mechanics | Programming | Radio frequency engineering | IoT tech design and development
Lecture_ML_Workflow.ipynb,0.8,0.2,4,1,0.25,1,Knowledge of big data tools and platforms | Pre-sales preparation | Machine Learning (ML) | 3D modelling | Data collection and analysis | Data sharing | Quantum mechanics | Programming | Radio frequency engineering | IoT tech design and development
Lecture_ML_Workflow.ipynb,0.7,0.3,4,1,0.25,1,Knowledge of big data tools and platforms | Pre-sales preparation | Machine Learning (ML) | 3D modelling | Data collection and analysis | Data sharing | Quantum mechanics | Programming | Radio frequency engineering | IoT tech design and development
Lecture_ML_Workflow.ipynb,0.6,0.4,4,1,0.25,1,Knowledge of big data tools and platforms | Pre-sales preparation | Machine Learning (ML) | 3D modelling | Data collection and analysis | Data sharing | Quantum mechanics | Programming | Radio frequency engineering | IoT tech design and development
Lecture_ML_Workflow.ipynb,0.5,0.5,4,1,0.25,1,Knowledge of big data tools and platforms | Machine Learning (ML) | Pre-sales preparation | 3D modelling | Data collection and analysis | Data sharing | Quantum mechanics | Programming | IoT tech design and development | Radio frequency engineering
ML Workflow Introduction.pptx,1.0,0.0,4,2,0.5,1,Knowledge of big data tools and platforms | Pre-sales preparation | Machine Learning (ML) | Data collection and analysis | 3D modelling | Data sharing | Data processing | Data preparation | Database modelling | Web pages optimization
ML Workflow Introduction.pptx,0.9,0.1,4,2,0.5,1,Knowledge of big data tools and platforms | Machine Learning (ML) | Pre-sales preparation | Data collection and analysis | 3D modelling | Data sharing | Data processing | Data preparation | Database modelling | Web pages optimization
ML Workflow Introduction.pptx,0.8,0.2,4,2,0.5,1,Knowledge of big data tools and platforms | Machine Learning (ML) | Pre-sales preparation | Data collection and analysis | 3D modelling | Data processing | Data sharing | Database modelling | Data preparation | Web pages optimization
ML Workflow Introduction.pptx,0.7,0.3,4,2,0.5,1,Knowledge of big data tools and platforms | Machine Learning (ML) | Pre-sales preparation | Data collection and analysis | 3D modelling | Data processing | Data sharing | Database modelling | Data preparation | Web pages optimization
ML Workflow Introduction.pptx,0.6,0.4,4,3,0.75,1,"Machine Learning (ML) | Knowledge of big data tools and platforms | Pre-sales preparation | Data collection and analysis | 3D modelling | Data processing | Data sharing | Database modelling | Data preparation | Artificial intelligence, machine learning and deep learning application"
ML Workflow Introduction.pptx,0.5,0.5,4,3,0.75,1,"Machine Learning (ML) | Knowledge of big data tools and platforms | Pre-sales preparation | Data collection and analysis | 3D modelling | Data processing | Data sharing | Database modelling | Data preparation | Artificial intelligence, machine learning and deep learning application"
Prompt_Engineering.ipynb,1.0,0.0,2,1,0.5,1,3D modelling | Data collection and analysis | Data sharing | Natural language Processing (NLP) | Pre-sales preparation | Programming | Web pages optimization | Knowledge of big data tools and platforms | IoT tech design and development | Communication systems and protocols design
Prompt_Engineering.ipynb,0.9,0.1,2,1,0.5,1,Data sharing | 3D modelling | Natural language Processing (NLP) | Data collection and analysis | Pre-sales preparation | Programming | Web pages optimization | Knowledge of big data tools and platforms | IoT tech design and development | Communication systems and protocols design
Prompt_Engineering.ipynb,0.8,0.2,2,1,0.5,1,Data sharing | 3D modelling | Natural language Processing (NLP) | Data collection and analysis | Programming | Pre-sales preparation | Web pages optimization | Knowledge of big data tools and platforms | IoT tech design and development | Communication systems and protocols design
Prompt_Engineering.ipynb,0.7,0.3,2,1,0.5,1,Data sharing | 3D modelling | Natural language Processing (NLP) | Data collection and analysis | Programming | Pre-sales preparation | Web pages optimization | Knowledge of big data tools and platforms | IoT tech design and development | Communication systems and protocols design
Prompt_Engineering.ipynb,0.6,0.4,2,1,0.5,1,Data sharing | 3D modelling | Natural language Processing (NLP) | Data collection and analysis | Programming | Pre-sales preparation | Web pages optimization | Knowledge of big data tools and platforms | IoT tech design and development | Communication systems and protocols design
Prompt_Engineering.ipynb,0.5,0.5,2,1,0.5,1,Data sharing | 3D modelling | Natural language Processing (NLP) | Data collection and analysis | Programming | Pre-sales preparation | Web pages optimization | Knowledge of big data tools and platforms | IoT tech design and development | Communication systems and protocols design
Retrieval_Augmented_Generation.ipynb,1.0,0.0,3,1,0.3333333333333333,1,3D modelling | Data collection and analysis | Natural language Processing (NLP) | Web pages optimization | Knowledge of big data tools and platforms | Data sharing | Communication systems and protocols design | Testing | Pre-sales preparation | Programming
Retrieval_Augmented_Generation.ipynb,0.9,0.1,3,1,0.3333333333333333,1,Web pages optimization | 3D modelling | Data collection and analysis | Natural language Processing (NLP) | Knowledge of big data tools and platforms | Data sharing | Communication systems and protocols design | Testing | Pre-sales preparation | Programming
Retrieval_Augmented_Generation.ipynb,0.8,0.2,3,1,0.3333333333333333,1,Web pages optimization | 3D modelling | Data collection and analysis | Natural language Processing (NLP) | Knowledge of big data tools and platforms | Data sharing | Communication systems and protocols design | Testing | Pre-sales preparation | RAN architecture
Retrieval_Augmented_Generation.ipynb,0.7,0.3,3,1,0.3333333333333333,1,Web pages optimization | 3D modelling | Data collection and analysis | Natural language Processing (NLP) | Knowledge of big data tools and platforms | Data sharing | Communication systems and protocols design | Testing | Pre-sales preparation | RAN architecture
Retrieval_Augmented_Generation.ipynb,0.6,0.4,3,1,0.3333333333333333,1,Web pages optimization | 3D modelling | Data collection and analysis | Natural language Processing (NLP) | Knowledge of big data tools and platforms | Communication systems and protocols design | Data sharing | Testing | RAN architecture | Pre-sales preparation
Retrieval_Augmented_Generation.ipynb,0.5,0.5,3,1,0.3333333333333333,1,Web pages optimization | 3D modelling | Data collection and analysis | Natural language Processing (NLP) | Knowledge of big data tools and platforms | Communication systems and protocols design | Data sharing | Testing | RAN architecture | Artificial intelligence application in product development
SQL_Foundations_for_Data_Science.pptx,1.0,0.0,4,3,0.75,1,Pre-sales preparation | Data sharing | Database modelling | Knowledge of big data tools and platforms | Database management and configuration | Web pages optimization | Data warehousing | Data collection and analysis | Data processing | Data preparation
SQL_Foundations_for_Data_Science.pptx,0.9,0.1,4,3,0.75,1,Pre-sales preparation | Data sharing | Database modelling | Knowledge of big data tools and platforms | Database management and configuration | Web pages optimization | Data warehousing | Data collection and analysis | Data processing | Data preparation
SQL_Foundations_for_Data_Science.pptx,0.8,0.2,4,3,0.75,1,Pre-sales preparation | Data sharing | Database modelling | Knowledge of big data tools and platforms | Database management and configuration | Web pages optimization | Data warehousing | Data collection and analysis | Data processing | Data preparation
SQL_Foundations_for_Data_Science.pptx,0.7,0.3,4,3,0.75,1,Pre-sales preparation | Data sharing | Database modelling | Knowledge of big data tools and platforms | Database management and configuration | Web pages optimization | Data warehousing | Data collection and analysis | Data processing | Data preparation
SQL_Foundations_for_Data_Science.pptx,0.6,0.4,4,3,0.75,1,Pre-sales preparation | Data sharing | Database modelling | Knowledge of big data tools and platforms | Database management and configuration | Web pages optimization | Data warehousing | Data collection and analysis | Data processing | Data preparation
SQL_Foundations_for_Data_Science.pptx,0.5,0.5,4,3,0.75,1,Data sharing | Pre-sales preparation | Database modelling | Knowledge of big data tools and platforms | Database management and configuration | Web pages optimization | Data warehousing | Data collection and analysis | Data processing | Data preparation
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,1.0,0.0,3,2,0.6666666666666666,1,"Machine Learning (ML) | 3D modelling | Artificial intelligence, machine learning and deep learning application | Database modelling | Natural language Processing (NLP) | Programming | Knowledge of big data tools and platforms | Communication systems and protocols design | Data protection management | Data sharing"
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,0.9,0.1,3,2,0.6666666666666666,1,"Machine Learning (ML) | 3D modelling | Artificial intelligence, machine learning and deep learning application | Database modelling | Natural language Processing (NLP) | Programming | Knowledge of big data tools and platforms | Communication systems and protocols design | Data protection management | Data sharing"
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,0.8,0.2,3,2,0.6666666666666666,1,"Machine Learning (ML) | 3D modelling | Artificial intelligence, machine learning and deep learning application | Database modelling | Natural language Processing (NLP) | Programming | Knowledge of big data tools and platforms | Communication systems and protocols design | Data protection management | Data sharing"
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,0.7,0.3,3,2,0.6666666666666666,1,"Machine Learning (ML) | 3D modelling | Artificial intelligence, machine learning and deep learning application | Database modelling | Natural language Processing (NLP) | Programming | Knowledge of big data tools and platforms | Communication systems and protocols design | Data sharing | Data protection management"
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,0.6,0.4,3,2,0.6666666666666666,1,"Machine Learning (ML) | Artificial intelligence, machine learning and deep learning application | 3D modelling | Database modelling | Programming | Natural language Processing (NLP) | Knowledge of big data tools and platforms | Communication systems and protocols design | Data sharing | Data protection management"
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,0.5,0.5,3,2,0.6666666666666666,1,"Machine Learning (ML) | Artificial intelligence, machine learning and deep learning application | 3D modelling | Database modelling | Programming | Natural language Processing (NLP) | Knowledge of big data tools and platforms | Communication systems and protocols design | Data sharing | Data protection management"
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,1.0,0.0,3,1,0.3333333333333333,1,Data sharing | Database modelling | Knowledge of big data tools and platforms | Machine Learning (ML) | Data processing | 3D modelling | Web pages optimization | Quantum mechanics | Natural language Processing (NLP) | Small cell design and optimization
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,0.9,0.1,3,1,0.3333333333333333,1,Data sharing | Database modelling | Knowledge of big data tools and platforms | Machine Learning (ML) | Data processing | 3D modelling | Web pages optimization | Quantum mechanics | Natural language Processing (NLP) | Small cell design and optimization
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,0.8,0.2,3,1,0.3333333333333333,1,Data sharing | Database modelling | Knowledge of big data tools and platforms | Machine Learning (ML) | Data processing | 3D modelling | Web pages optimization | Quantum mechanics | Natural language Processing (NLP) | Small cell design and optimization
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,0.7,0.3,3,1,0.3333333333333333,1,Data sharing | Database modelling | Knowledge of big data tools and platforms | Machine Learning (ML) | Data processing | 3D modelling | Web pages optimization | Quantum mechanics | Natural language Processing (NLP) | Small cell design and optimization
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,0.6,0.4,3,1,0.3333333333333333,1,Data sharing | Database modelling | Knowledge of big data tools and platforms | Machine Learning (ML) | Data processing | 3D modelling | Web pages optimization | Quantum mechanics | Natural language Processing (NLP) | Small cell design and optimization
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,0.5,0.5,3,1,0.3333333333333333,1,Data sharing | Database modelling | Knowledge of big data tools and platforms | Machine Learning (ML) | Data processing | 3D modelling | Web pages optimization | Quantum mechanics | Natural language Processing (NLP) | Small cell design and optimization
