skill_name_en,description_en,subsector_en,related_job_families_en,needs_review
Business agility,"Organize the business, work activities and people in ways that enable the organization to readily adapt to changes in its internal or external environment, whilst achieving desired outcomes and delivering value to customers",Information Technology; Communications,Data and AI; Project Management; Data Protection and Cybersecurity; Quality; Hardware; Business Processes; Infrastructure; R&D and Product Development; Pre-sales; Software; Telecom Engineering,
Business development,"Explore and establish strategic business opportunities for the organization and translate market research and/or analysis into viable leads. This would encompass identification of new markets and potential customers, active generation and pursuit of leads and commercial opportunities, regular engagement with relevant industries to introduce and promote the organization's IT products, services or offerings",Information Technology; Communications,Infrastructure; Partnerships; Business Processes; Pre-sales; R&D and Product Development; Sales and Marketing,
Business innovation,Identify and evaluate digitization and innovative business opportunities provided by new advancements in information and communication technology to establish new services or businesses to bridge the physical and digital worlds,Information Technology; Communications,Data and AI; Project Management; Design and Animation; R&D and Product Development; Hardware; Business Processes; Infrastructure; Sales and Marketing; Pre-sales; Software; Telecom Engineering,
Business needs analysis,"Identify and scope business requirements and priorities through rigorous information gathering and analysis as well as clarification of the solutions, initiatives and programmes to enable effective delivery. This also involves the development of a compelling and defensible business case and the articulation of the potential impact of the solution to the business",Information Technology; Communications,Project Management; Operations; Pre-sales; Design and Animation; Data and AI; Business Processes; Quality; Hardware; Telecom Engineering; Sales and Marketing; Infrastructure; Software,
Business requirements mapping,Map business requirements to existing processes to identify gaps or opportunities for possible solutions and evaluate impact of solutions against requirements to propose adjustments as needed,Information Technology; Communications,Data and AI; Project Management; Design and Animation; Quality; Hardware; Business Processes; Infrastructure; R&D and Product Development; Pre-sales; Software; Telecom Engineering,
Cable/ system wiring and equipment installation,"To install, test and commission a cable broadband system within a multi-dwelling unit (MDU) and to install and cut over a new metallic conductor cable to an access network distribution cabinet. It also includes skills to install, splice and terminate hard-line coaxial cable in the customer access network (CAN) environment for emerging technologies indoor or outdoor, domestic, commercial or industrial network cable equipment at a client's premises or service provider access networks",Information Technology; Communications,Infrastructure; Operations; Telecom Engineering,
Cloud computing,Implement cloud solutions to enhance business performance and security of IT systems,Information Technology; Communications,Data and AI; Operations; Infrastructure; R&D and Product Development; Software; Telecom Engineering,
Cloud computing integration,Integrate and optimize cloud computing solutions to enable secure and scalable remote work environments,Information Technology; Communications,Data Protection and Cybersecurity; Infrastructure; Operations,
Cloud development and operations management,"Integrate development and operations for efficient and collaborative cloud deployment, e.g., CI/CD pipelines, version control (e.g., Git), and infrastructure as code (IaC)",Information Technology; Communications,Infrastructure; Software,
Cloud infrastructure management,"Skills and knowledge to create and implement cloud infrastructure as code using cloud platform templates. This includes creating templates, then using the templates to create and update cloud infrastructure, protecting networks and to compute both at rest and in transit data in cloud environments",Information Technology; Communications,Infrastructure; Software,
Cloud Management and E2E Service Orchestration Design,"Design, deploy, and manage cloud environments, ensuring integration, performance, security, and automation of services from end-to-end",Information Technology; Communications,Infrastructure,
Cloud security,"Ensure that cloud infrastructure and data are secure from malicious attacks and unauthorized access, monitor and audit access control measures and secure configuration settings, and develop strategies and solutions to prevent data leakage and other security threats",Information Technology; Communications,Data Protection and Cybersecurity; Infrastructure,
Cloud solutions design and implementation,Designing and maintaining cloud architecture that are secure and address business requirements. It also includes evaluating project plans for implementing cloud solutions and the costs and resources associated with them .,Information Technology; Communications,Data and AI; Infrastructure; Operations; Software,
Communication systems and protocols design,"Familiarize with communication protocols (e.g., DPD, CFR, DUC, DDC). Utilize AI algorithms for the analysis and management of the RAN",Information Technology; Communications,Data and AI; Infrastructure; Telecom Engineering,
Computer hardware maintenance,"To conduct preventative maintenance on physical computing components. It includes identifying methods to enable optimal operating system functionality, security protection, and performance levels, by producing maintenance plans and applying safe working practices",Information Technology; Communications,Data Protection and Cybersecurity; Infrastructure; Operations; Software,
Computer operating systems and hardware usage,"To select, install, configure and use computer operating systems and basic computer hardware. This involves configuring the operating system to work with a variety of hardware peripherals and types of information and communications technology (ICT) equipment.",Information Technology; Communications,Consultation; Software,
Computer vision technology,Computer vision technology is a field of artificial intelligence that trains computers to interpret and understand the visual world. It captures and analyzes visual information using a combination of camera hardware and AI software.,Information Technology; Communications,Data and AI,
Customer relationship management,Initiate and drive activities to enhance customer relationships and brand loyalty for the organisation,Information Technology; Communications,Partnerships,
Cyber and data breach incident management,"Detect and report cyber and data-related incidents, identify affected systems and user groups, trigger alerts and announcements to relevant stakeholders and efficient resolution of the situation.",Information Technology; Communications,Data Protection and Cybersecurity; Operations; R&D and product development; Software; Infrastructure; Telecom Engineering,
Cyber forensics,"Develop and manage digital forensic investigation and reporting plan which specifies the tools, methods, procedures and practices to be used. This includes the collection, analysis and preservation of digital evidence in line with standard procedures and reporting of findings for legal proceedings",Information Technology; Communications,Data Protection and Cybersecurity; R&D and Product Development,
Cyber incident management,"Expertly orchestrating responses to cybersecurity incidents, ensuring swift mitigation and recovery in the digital landscape",Information Technology; Communications,"Data Protection and Cybersecurity; Governance, Risk and Compliance",
"Cyber risk, governance and compliance","Develop cyber risk assessment and treatment techniques to pre-empt and identify major security weaknesses, demonstrate associated business risks, and provide strategies for risk treatment and prioritization. Ensure appropriate levels of protection, confidentiality, integrity, and privacy in alignment with the security framework to address identified cyber risks, threats, and vulnerabilities",Information Technology; Communications,"Data Protection and Cybersecurity; Governance, Risk and Compliance; Infrastructure; Operations; Project Management; R&D and Product Development; Software",
Cyber security incident response planning,To develop and implement an incident response plan and to assist in responding to and containing cyber security incidents. The results of the incident response plan must be evaluated if they affect the mission of the organization,Information Technology; Communications,Data Protection and Cybersecurity; Software,
Cyber security threat assessment,To support maintaining a cyber secure network through identifying cyber security threats for an organization and to identify and report online security threats to limit potential impact of cyber security breaches.,Information Technology; Communications,Data Protection and Cybersecurity; Quality; Software,
Cybersecurity of emerging tech,Refers to the safety measures and protections developed for new and evolving technologies,Information Technology; Communications,Data and AI; Project Management; Data Protection and Cybersecurity; Quality; Infrastructure; R&D and Product Development; Pre-sales; Sales and Marketing; Software,
Data analytics,"Implementing data analytics within the organization to generate business insights and intelligence through the use of statistical and computational techniques and tools, algorithms, predictive data modelling and data visualization",Information Technology; Communications,Data and AI; Data Protection and Cybersecurity; Design and Animation; Infrastructure; Pre-sales; Project Management; Quality; R&D and Product Development; Sales and Marketing; Software,
Data cleaning,"To clean and verify data obtained from a variety of sources. It involves the use of analytics and review to ensure data quality for an organization is according to industry practices and organizational policies, procedures and protocols.",Information Technology; Communications,Data and AI; Software,
Data collection and analysis,"To gather, analyze, test and verify data from different source inputs.",Information Technology; Communications,Data and AI; Data Protection and Cybersecurity; Software,
Data design,"Specify and create a data structure or database model, including the setting of various parameters or fields that can be modified to suit different structured or unstructured data requirements, the design of data flow, as well as the development of mechanisms for maintenance, storage and retrieval of data based on the business requirements",Information Technology; Communications,Data and AI; Infrastructure; R&D and Product Development; Software; Telecom Engineering,
Data engineering,"Develop and implement efficient and stable processes to collect, store, extract, transform, load and integrate data at various stages in the data pipeline. This also involves processing varying amounts of data from a variety of sources and preparing data in a structure that is easily access and analyzed according to business requirements",Information Technology; Communications,Data and AI; Operations; Pre-sales; R&D and Product Development; Software,
Data ethics,"Apply legal and ethical principles in the collection, use, storage and disposal of data",Information Technology; Communications,Data and AI; Data Protection and Cybersecurity; Quality; R&D and Product Development; Software,
Data governance,"Develop and implement guidelines, laws, and regulations across the organization for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches in a range of complex, ambiguous or multi-faceted contexts",Information Technology; Communications,"Data and AI; Data Protection and Cybersecurity; Governance, Risk and Compliance; Quality; R&D and Product Development",
Data management,"Developing and implementing plans, policies, and practices that control, protect and optimize the value of data assets.",Information Technology; Communications,Consultation; Operations; Data and AI; Pre-sales; Data Protection Design and and Cybersecurity Animation; Project Management; Quality; Hardware; R&D and Product Development; Sales and Marketing; Infrastructure; Software,
Data preparation,"Collect and clean data as well as data extraction, transformation, and loading (ETL) and creating comprehensive data warehouses for analytical purposes",Information Technology; Communications,Data and AI; R&D and Product Development,
Data processing,"Proficient in utilizing a variety of analytic tools, databases, and techniques to extract valuable insights and enhance decision-making",Information Technology; Communications,Data and AI; Data Protection and Cybersecurity; Software,
Data protection management,Develop and implement a data protection management program to comply with relevant regulations,Information Technology; Communications,"Data Protection and Cybersecurity; Governance, Risk and Compliance; Software",
Data sharing,Assess the value of data to achieve a competitive advantage and business objectives,Information Technology; Communications,Consultation; Data Protection and Cybersecurity; Design and Animation; Hardware; Operations; Quality; R&D and Product Development; Software,
Data visualisation and storyboarding,"Implement contemporary techniques, dynamic visual displays with illustrative and interactive graphics to present patterns, trends, analytical insights from data or new concepts in a strategic manner for the intended audience",Information Technology; Communications,Data and AI; Project Management; Data Protection and Cybersecurity; Hardware; R&D and Product Development; Operations; Software; Pre-sales; Telecom Engineering,
Data warehousing,"Installing, configuring, monitoring, maintaining and improving the performance of databases and data stores.",Information Technology; Communications,Data and AI; Data Protection and Cybersecurity; Infrastructure; Operations; R&D and Product Development; Software,
Database management and configuration,"Manage databases that store customer, product, and transaction data. This includes knowledge of database management systems like MySQL, PostgreSQL, or MongoDB",Information Technology; Communications,"Data and AI; Data Protection and Cybersecurity; Governance, Risk and Compliance; Infrastructure; Project Management; Sales and Marketing; Software",
Database modelling,"Proficient in developing data models to structure and represent information, facilitating effective analysis and decision-making in the digital sector",Information Technology; Communications,Data and AI; Data Protection and Cybersecurity; Design and Animation; Infrastructure; Software,
Digital forensics data extraction,"To acquire, extract and analyze data from devices and workstations, including mobile devices, networked devices, smart devices, Internet of Things (IoT) devices and microcontrollers, USBs, applications, networks and systems. It applies to skills needed to extract evidence pertaining to either a forensic investigation directly caused on a computer, or as part of evidence relating to a crime or e-crime.",Information Technology; Communications,Data Protection and Cybersecurity; Software,
Disaster recovery management,"Develop and implement internal policies, processes and arrangements to guide and enable the prompt recovery of critical IT infrastructure and systems following a crisis or disaster. This includes monitoring the efficiency and effectiveness of response to significant incidents or disruptions and reviewing the organization's disaster recovery plan and processes.",Information Technology; Communications,Data Protection and Cybersecurity; Infrastructure; Operations; Pre-sales; R&D and Product Development; Software,
Electronic circuit boards design and integration,Designing electronic circuits to meet specific requirements and constraints.,Information Technology; Communications,Hardware; Infrastructure; Telecom Engineering,
Embedded firmware development,"Skills in industry standard design techniques, flows and tools involved in Design and Development of Telecom Embedded Firmware",Information Technology; Communications,Hardware; Telecom Engineering,
Embedded systems design,"Creating specialized computing systems within larger systems to perform specific tasks. Crucial in the digital sector, these designs drive interconnectivity and automation in various IoT applications such as home automation and industrial monitoring systems.",Information Technology; Communications,Consultation; Data and AI; Data Protection and Cybersecurity; Infrastructure; Quality; R&D and Product Development; Telecom Engineering; Software,
Emerging technology synthesis,"Monitor and integrate emerging technology trends and developments, structured data gathering for the identification of new and emerging technological products, services and techniques. In addition, the performance of cost-benefit analysis and evaluation of their relevance, viability, sustainability and potential value add to the business",Information Technology; Communications,Business Processes; Data and AI; Design and Animation; Hardware; Infrastructure; Operations; Pre-sales; Project Management; Quality; R&D and Product Development; Software; Telecom Engineering,
Energy management and efficiency,"Optimize energy usage in IT systems and data centers, including proficiency in energy-efficient hardware and software solutions",Information Technology; Communications,Hardware; Infrastructure; Software,
Enterprise and business architecture,"Aligning an organization's technology strategy with its business mission, strategy, and processes and documenting this using architectural models.",Information Technology; Communications,Data and AI; Pre-sales; Data Protection and Cybersecurity; Hardware; Project Management; Infrastructure; Software; Operations; Telecom Engineering,
Frequency Spectrum Management,Allocating and regulating radio frequencies to ensure efficient and interference-free communication,Information Technology; Communications,Data and AI; Infrastructure,
"Game programming, development, and testing","Optimize gaming experience by proficiently programming, utilizing game engines, employing 3D modeling, animation tools, implementing realistic physics, ensuring multiplatform compatibility, conducting QA testing, using version control, and optimizing performance",Information Technology; Communications,Data and AI; Data Protection and Cybersecurity; Design and Animation; Infrastructure; Quality; R&D and Product Development; Software,
Infrastructure deployment,"Set up, deploy and decommission infrastructure components and associated equipment in accordance to a set plan and established safety and/or quality procedures. This includes the assessment and preparation of appropriate site locations, infrastructure, the development of an installation plan, layout at the site, the testing of on-site systems, infrastructure components, equipment and the correction of issues and/or malfunctions",Information Technology; Communications,Infrastructure; Operations; Software; Telecom Engineering,
Internal hardware components connection and configuration,Install and configure internal hardware components and evaluate the modified system according to client and user requirements.,Information Technology; Communications,Data Protection and Cybersecurity; Infrastructure; Software,
IoT tech design and development,"Install, program, design and test IoT devices and networks",Information Technology; Communications,"Consultation; Operations; Data and AI; Quality; Data Protection and Cybersecurity; R&D and Product Development; Sales and Marketing; Design and Animation; Governance, Risk and Compliance; Software; Telecom Engineering",
IT consultancy,"IT Consultancy refers to the professional service that assists businesses in optimizing their use of technology and aligning IT infrastructure with their corporate strategies, helping them gain a competitive edge and efficiently achieve their business objectives.",Information Technology; Communications,Operations; Pre-sales; Software,
IT system assessment and evaluation,"Involves evaluating an organization's information technology infrastructure to identify its strong points and vulnerabilities, enabling more informed decision-making regarding improvements, risk management, and strategic planning.",Information Technology; Communications,Data Protection and Cybersecurity; Quality,
Key analysis techniques,"Key analysis techniques refer to the essential methods used to dissect complex problems or projects, assess data or information, identify patterns, generate insights, and ultimately drive informed decision-making and problem-solving.",Information Technology; Communications,Business Processes,
Knowledge management systems,"Knowledge Management Systems refer to the suite of digital technologies and solutions used to collect, organize, share, and analyze information in an organization, promoting collaboration, informed decision-making, and business efficiency.",Information Technology; Communications,Data Protection and Cybersecurity; Project Management; Software,
Knowledge of big data tools and platforms,Knowledge of big data tools and platforms to access data and run models,Information Technology; Communications,Data and AI,
Machine Learning (ML),"Develop, implement, and optimize algorithms for automated learning and decision-making utilizing tools such as deep learning (DL), supervised and unsupervised learning, and reinforcement learning",Information Technology; Communications,Data and AI; Quality; Telecom Engineering,
Market trend analysis,"Devise the framework, manage and conduct the situational analysis process to uncover market trends and industry developments to identify new opportunities",Information Technology; Communications,Sales and Marketing,
Millimeter wave radio design,"Experience in designing and developing millimeter wave radios for backhaul network applications. It requires knowledge of millimeter wave frequency bands, antenna design, modulation schemes, and signal processing techniques",Information Technology; Communications,Telecom Engineering,
Natural language Processing (NLP),"Design algorithms that enable computers to understand, interpret, and generate human language, utilizing linguistic analysis",Information Technology; Communications,Data and AI; Software,
Network administration and maintenance,"Monitor network in order to provide for optimum levels of network performance and minimization of downtime. This includes detection, isolation, recovery and limitation of the impact of failures on the network as well as provision of support to system users through ongoing maintenance information sharing and training",Information Technology; Communications,Data Protection and Cybersecurity; Hardware; Infrastructure; Operations; Pre-sales; Software; Telecom Engineering,
Network and data security,"Implement, install, configure, test and manage data security functions throughout a network.",Information Technology; Communications,Consultation; Data & AI; Data Protection and Cybersecurity; Software; Telecom Engineering,
Network architecture design and planning,"Design and plan scalable, reliable network structures, evaluate client specifications, produce technical solutions, and optimize connectivity for robust digital services",Information Technology; Communications,Data Protection and Cybersecurity; Infrastructure; Operations; Software; Telecom Engineering,
Network Methodology and Strategy,"Plan and implement network infrastructures, focusing on optimization, security, and reliability to support business needs",Information Technology; Communications,Infrastructure,
Network protocol implementation,"Implementing L1 and L2 network protocols such as Ethernet, Wi-Fi, and Bluetooth. It requires knowledge of the protocol specifications, as well as an understanding of the hardware and software components that are involved in the communication process",Information Technology; Communications,Telecom Engineering,
Network security,"Design and configure network systems to ensure the integrity of network infrastructure through the use of appropriate protection, detection and response mechanisms",Information Technology; Communications,"Data Protection and Cybersecurity; Governance, Risk and Compliance; Infrastructure; R&D and Product Development; Software; Telecom Engineering",
Networking,"Designing, implementing, and managing secure and efficient network infrastructures to enable seamless communication, data exchange, and alignment with business objectives",Information Technology; Communications,Data and AI; Design and Animation; Hardware; Infrastructure; Operations; Partnerships; Pre-sales; Project Management; Quality; R&D and Product Development; Sales and Marketing; Software; Telecom Engineering,
Operating systems management,Create a network operating system and set up and use administrative tools to manage the network.,Information Technology; Communications,Data Protection and Cybersecurity; Quality; Software; Telecom Engineering,
O-RU design and development,"Experience in designing and developing O-RUs, including hardware and software components. It requires knowledge of the 3GPP standards that define the O-RU functionality, as well as experience in designing and testing O-RUs for compliance with these standards",Information Technology; Communications,Telecom Engineering,
OTN design,Design and implement Optical Transport Network (OTN) solutions to optimize high-capacity data transport over optical fiber networks,Information Technology; Communications,Design and Animation; Infrastructure; Operations; R&D and Product Development; Telecom Engineering,
Portfolio management,"Manage systematically the IT investments, projects, services and activities within a company, in line with business objectives and priorities. This involves the development of a framework to evaluate potential costs and benefits and make key decisions about IT investments, internal allocation and utilization of IT resources and/or assets and any changes to IT processes or services offered",Information Technology; Communications,Infrastructure; Project Management; R&D and Product Development; Software,
Pre-sales preparation,Preparation to achieve monthly/weekly/daily sales objective,Information Technology; Communications,Consultation; Sales and Marketing,
Problem management,Managing the life cycle of all problems that have occurred or could occur in delivering a service.,Information Technology; Communications,Data and AI; Project Management; Hardware; Quality; Infrastructure; R&D and Product Development; Operations; Sales and Marketing; Software; Pre-sales; Telecom Engineering,
Product management,"Managing and developing products or services through their full life cycle from inception, growth, maturity, decline to retirement.",Information Technology; Communications,Design and Animation; Infrastructure; Pre-sales; Project Management; Quality; R&D and Product Development; Sales and Marketing; Software,
Programming,"Designing and coding automated software bots to perform repetitive, rule-based tasks typically done by humans. This includes tasks like data entry, processing transactions, or managing emails",Information Technology; Communications,Data and AI; Project Management; Quality; Design and Animation; Hardware; R&D and Product Development; Infrastructure; Software; Operations; Telecom Engineering,
Project Management,"Delivering agreed outcomes from projects using appropriate management techniques, collaboration, leadership and governance.",Information Technology; Communications,Consultation; Data and AI; Design and Animation; Hardware; Infrastructure; Operations; Pre-sales; Project Management; Quality; R&D and Product Development; Sales and Marketing; Software; Telecom Engineering,
Quality assurance,"Ensure alignment with company values and objectives by setting, implementing, and assessing quality standards for IT products and services for internal and external clients.",Information Technology; Communications,Business Processes; Data and AI; Project Management; Quality; Infrastructure; R&D and Product Development; Operations; Software; Pre-sales; Telecom Engineering,
Quality engineering,"Create, deploy and maintain quality-related systems, processes and tools to establish an environment that supports process and product quality",Information Technology; Communications,Infrastructure; Quality,
Quantum mechanics,Understand the behavior of matter and energy at the smallest scales as the quantum computing is based on the principles of quantum mechanics,Information Technology; Communications,Data & AI; Design and animation; Infrastructure; R&D and product development; Software; Telecom Engineering,
Radio frequency circuit design,"Experience in designing and developing RF circuits, such as low-noise amplifiers, mixers, filters, and power amplifiers. It requires knowledge of RF design tools such as ADS or Microwave Office, as well as experience in board-level design and layout",Information Technology; Communications,Telecom Engineering,
Radio frequency engineering,"Designing, installing and maintaining radio frequency-based devices and software.",Information Technology; Communications,Infrastructure; Operations; Telecom Engineering,
Radio intelligent controller development,"Proficient in developing software for RIC, which is responsible for managing and orchestrating various functions within the radio access network. It requires an understanding of the O-RAN Alliance specifications and the 3GPP standards",Information Technology; Communications,Telecom Engineering,
RAN architecture,"Understand various RAN architecture and Open RAN standards (Split-0, Split-2, Split-6, Split-7.2). Acquire in-depth knowledge of Open RAN components (O-RU, o-DU, O-CU)",Information Technology; Communications,Infrastructure; Telecom Engineering,
Scripting and programming languages,"Proficiency in programming with languages such as Python, JavaScript, and Ruby, which are often used for automating tasks, web development, and server-side scripting, among other applications",Information Technology; Communications,Data & AI; Data Protection and Cyber- security; Infra-structure; Quality; R&D and Product Develop-ment; Software; Telecom Engineering,
Security architecture,"Design security architectures and controls; either embedding of security principles into the design of architectures to mitigate the risks posed by new technologies and business practices, or the actual design and specification of implementable security components, along with the accompanying control measures, to meet defined business security needs",Information Technology; Communications,Data and AI; Data Protection and Cybersecurity; Infrastructure; Pre-sales; Software,
Security assessment and testing,"Conduct threat modelling, vulnerability assessment and penetration testing to reveal vulnerabilities or lapses in the existing systems or security mechanisms and evaluate the extent to which systems are able to protect the organization's data and maintain functionality as intended",Information Technology; Communications,Data Protection and Cybersecurity; Quality,
Service management,Apply the principles of service management when supporting and resolving ICT service desk cases.,Information Technology; Communications,Infrastructure; Operations; R&D and Product Development; Software; Telecom Engineering,
Small cell design and optimization,"Experience in designing and optimizing small cells for 5G networks. It requires knowledge of small cell architectures, such as indoor and outdoor deployments, as well as experience in optimizing small cell performance for coverage and capacity",Information Technology; Communications,Telecom Engineering,
Software applications scripts development,"Plan, design and build scripts, using a scripting language to construct highly interactive and automated software applications.",Information Technology; Communication,Software,
Software applications test design,"Designing and developing manual cases and automated scripts to test the verify the functionality, usability, compatibility, security and/or performance of software products/applications/modules",Information Technology; Communications,Quality; Software,
Software configuration,"Configure software products and apply scripts and automation tools to integrate and deploy software releases to various platforms and operating environments. This includes subsequent modifications to software configuration, based on outcomes of systems and/or configuration tests",Information Technology; Communications,Infrastructure; Operations; R&D and Product Development; Software; Telecom Engineering,
Software design,Specifying and designing software to meet defined requirements by following agreed design standards and principles.,Information Technology; Communications,Data and AI; Data Protection and Cybersecurity; Design and Animation; Infrastructure; Pre-sales; Project Management; Quality; R&D and Product Development; Software; Telecom Engineering,
Software development and integration,"Utilize languages such as C++, Python, Java, .NET, and version control tool like Git. Proficient in deploying solutions across diverse platforms",Information Technology; Communications,Data and AI; Infrastructure; Operations; Software; Telecom Engineering,
Software testing,"Assess and test the overall effectiveness and performance of an application, involving the setting up of suitable testing conditions, definition of test cases and/or technical criteria",Information Technology; Communications,Design and Animation; Operations; Project Management; Quality; R&D and Product Development; Software,
Software-defined radio programming,Proficient in programming SDR hardware such as USRP or LimeSDR using tools such as GNU Radio or MATLAB. It requires an understanding of digital signal processing and wireless communication protocols.,Information Technology; Communications,Telecom Engineering,
Solution architecture,Developing and communicating a multi-dimensional solution architecture to deliver agreed business outcomes.,Information Technology; Communications,Data and AI; Design and Animation; Hardware; Infrastructure; Pre-sales; Project Management; R&D and Product Development; Software; Telecom Engineering,
Stakeholder management,"Manage stakeholder expectations and needs by aligning those with requirements and objectives of the organization. This involves planning of actions to effectively communicate with, negotiate with and influence stakeholders",Information Technology; Communications,Consultation; Data and AI; Partnerships; Pre-sales; Project Manage- ment; Design and Animation; Quality; Hardware; R&D and Product Development; Infrastructure; Sales and Marketing; Operations; Software; Telecom Engineering,
Style guide and specifications design,Design and define style guide/design system and specifications for developers to ensure that a consistent design language is applied across the product.,Information Technology; Communication,Design and Animation; Software,
System integration,"Develop and implement a roadmap and specific integration solutions to facilitate integration of various ICT components and optimize inter-operability of systems and their interfaces. This includes the integration of various architectural components such as networks, servers, system platforms and their interfaces",Information Technology; Communications,Data and AI; Infrastructure; Operations; Project Management; R&D and Product Development; Software; Telecom Engineering,
Systems design,"Design systems to meet specified business and user requirements that are compatible with established system architectures, as well as organizational and performance standards",Information Technology; Communications,Data Protection and Cybersecurity; Hardware; Infrastructure; Software; Telecom Engineering,
Telecommunications network equipment installation,"Install and test telecommunications network equipment which includes processes for checking plans, obtaining equipment, and handling equipment and supplies.",Information Technology; Communications,Infrastructure; Operations; Software; Telecom Engineering,
Test planning,"Develop a test strategy and systematic procedures to ensure a product, system, or solution meets design specifications, including performance, load, and volume requirements. Define when requirements will be verified across stages, the tools and resources needed, and document test cases, scripts, reports, and plans for comprehensive testing",Information Technology; Communications,Data and AI; Data Protection and Cybersecurity; Design and Animation; Infrastructure; Operations; Project Management; Quality; R&D and Product Development; Software; Telecom Engineering,
Testing,"Investigating products, systems and services to assess behavior and whether this meets specified or unspecified requirements and characteristics.",Information Technology; Communications,Data Protection and Cybersecurity; Hardware; Quality; Software; Telecom Engineering,
Threat analysis and defence,"Enable and conduct analysis of malicious threats, to examine their characteristics, behaviors, capabilities, intent and interactions with the environment as well as the development of defence and mitigation strategies and techniques to effectively combat such threats",Information Technology; Communications,Data Protection and Cybersecurity; R&D and Product Development; Software,
Threat intelligence and detection,"Monitor intelligence-gathering and anticipate potential threats to an ICT system proactively. This involves the pre- emptive analysis of potential perpetrators, anomalous activities and evidence-based knowledge and inferences on perpetrators' motivations and tactics",Information Technology; Communications,Data Protection and Cybersecurity; R&D and Product Development; Software,
Troubleshooting and risk analysis,Identifying and rectifying technical issues and assessing potential threat scenarios that could impact the performance and security of digital systems or telecommunications networks,Information Technology; Communications,"Data Protection and Cybersecurity; R&D and Product Development; Governance, Risk and Compliance; Hardware; Sales and Marketing; Infrastructure; Software; Operations; Telecom Engineering",
